species,habit
Cucurbita_pepo,0
Cucurbita_lundelliana,0
Cucurbita_okeechobeensis,0
Cucurbita_moschata,0
Cucurbita_argyrosperma,0
Cucurbita_maxima,0
Cucurbita_ecuadorensis,0
Cucurbita_ficifolia,0
Xerophytes_2,1
Xerophytes_1,1
Peponopsis_adhaerens,1
Polyclathra_cucumerina,0
